0 49
46 49 4
30 49 6
43 45 14
46 49 12
25 35 13
48 49 18
18 45 15
43 48 12
10 24 15
13 24 18
22 35 15
27 36 10
40 47 7
34 47 9
1 33 15
42 43 1
20 43 7
22 49 2
28 46 2
35 36 14
23 31 14
16 45 11
37 39 20
45 47 10
46 48 11
4 20 6
34 44 10
47 48 18
2 39 6
8 27 10
27 47 12
5 14 1
2 47 9
5 6 11
5 6 15
4 47 14
41 49 10
7 49 18
36 40 4
39 40 16
39 49 14
42 47 9
27 39 20
23 34 13
14 22 11
29 40 1
37 47 14
15 17 3
13 28 4
28 38 6
22 29 4
6 45 9
1 42 1
38 49 20
13 37 17
47 49 15
11 28 2
20 42 15
32 37 6
13 30 13
0 28 16
22 27 4
20 44 16
5 14 12
1 29 15
32 45 12
2 34 9
24 41 17
0 5 3
25 49 19
34 37 5
20 26 3
2 16 2
27 35 4
36 44 7
7 14 9
42 46 19
40 43 7
40 49 11
24 43 15
48 49 8
23 30 5
16 37 3
5 18 2
33 49 11
12 37 18
34 45 20
6 32 8
37 40 13
44 49 15
41 42 11
4 27 12
17 20 6
45 49 2
0 1 18
1 2 16
2 4 6
4 7 2
7 8 1
8 10 16
10 11 12
11 12 1
12 13 13
13 15 12
15 23 8
23 25 3
